state,pc_no,constituency,polling_stations,male_voters,female_voters,tg_voters,total_voters_group1,Unnamed: 8,male_votes_polled,female_votes_polled,tg_votes_polled,total_votes_polled,nri_votes,Unnamed: 14,total_voters,turnout_overall_reported,Male.2,Female.2,TG.2,constituency_normalized,state_normalized,postal_votes,turnout_overall,turnout_male,turnout_female,turnout_postal,year,Unnamed: 9,TOTAL VOTERS,tg_voters_dup1
Andhra Pradesh,1.0,Araku (St),2052.0,756088.0,800954.0,111.0,1557153.0,2520.0,560845.0,582168.0,0.0,1143013.0,0.0,22774.0,1165787.0,74.87,74.18,72.68,0.0,araku st,andhra pradesh,0,98.04646989544402,74.17721217636041,72.68432394369714,0.0,2024,,,
Andhra Pradesh,10.0,Eluru,1744.0,799901.0,838089.0,126.0,1638116.0,686.0,676968.0,693753.0,54.0,1370775.0,24.0,17215.0,1387990.0,84.73,84.63,82.78,42.86,eluru,andhra pradesh,0,98.75971728902945,84.63147314480167,82.77796272233617,0.0,2024,,,
Andhra Pradesh,11.0,Machilipatnam,1768.0,746622.0,793366.0,57.0,1540045.0,585.0,631990.0,662067.0,27.0,1294084.0,106.0,21405.0,1315489.0,85.42,84.65,83.45,47.37,machilipatnam,andhra pradesh,0,98.37284842366603,84.64658153657406,83.45038733699201,0.0,2024,,,
Andhra Pradesh,12.0,Vijayawada,1792.0,830857.0,873461.0,151.0,1704469.0,392.0,663238.0,690008.0,99.0,1353345.0,7.0,17757.0,1371102.0,80.44,79.83,79.0,65.56,vijayawada,andhra pradesh,0,98.70491035677871,79.82577025890136,78.99700158335634,0.0,2024,,,
Andhra Pradesh,13.0,Guntur,1915.0,867085.0,926080.0,159.0,1793324.0,1781.0,686759.0,726457.0,62.0,1413278.0,0.0,24250.0,1437528.0,80.16,79.2,78.44,38.99,guntur,andhra pradesh,0,98.31307633660005,79.20319230525266,78.44430286800277,0.0,2024,,,
Andhra Pradesh,14.0,Narsaraopet,1929.0,847765.0,888206.0,191.0,1736162.0,1304.0,727861.0,758617.0,88.0,1486566.0,0.0,18311.0,1504877.0,86.68,85.86,85.41,46.07,narsaraopet,andhra pradesh,0,98.78322281488786,85.85645786273318,85.41002875459071,0.0,2024,,,
Andhra Pradesh,15.0,Bapatla (Sc),1766.0,739959.0,771133.0,85.0,1511177.0,4823.0,631216.0,656361.0,40.0,1287617.0,0.0,20626.0,1308243.0,86.57,85.3,85.12,47.06,bapatla sc,andhra pradesh,0,98.42338158889442,85.30418577245497,85.11644554181963,0.0,2024,,,
Andhra Pradesh,16.0,Ongole,1927.0,809009.0,805409.0,107.0,1614525.0,6693.0,701248.0,699852.0,74.0,1401174.0,0.0,24784.0,1425958.0,88.32,86.68,86.89,69.16,ongole,andhra pradesh,0,98.26194039375635,86.6798762436512,86.89398802347628,0.0,2024,,,
Andhra Pradesh,17.0,Nandyal,1983.0,844830.0,879029.0,332.0,1724191.0,3178.0,685792.0,701399.0,176.0,1387367.0,0.0,23409.0,1410776.0,81.82,81.18,79.79,53.01,nandyal,andhra pradesh,0,98.34070043720618,81.17514766284341,79.79247556110208,0.0,2024,,,
Arunachal Pradesh,1.0,Arunachal West,1306.0,251346.0,268735.0,4.0,520085.0,2701.0,177023.0,202586.0,2.0,379611.0,0.0,22719.0,402330.0,77.36,70.43,75.39,50.0,arunachal west,arunachal pradesh,0,94.35314294236075,70.43000485386678,75.38504474668353,0.0,2024,,,
Assam,1.0,Kokrajhar (St),1862.0,750857.0,743540.0,7.0,1494404.0,9833.0,615168.0,625137.0,1.0,1240306.0,0.0,14193.0,1254499.0,83.95,81.93,84.08,14.29,kokrajhar st,assam,0,98.86863201963493,81.92878271095562,84.07577265513623,0.0,2024,,,
Assam,10.0,Kaziranga,2357.0,1028420.0,1025352.0,33.0,2053805.0,3679.0,802309.0,824013.0,6.0,1626328.0,0.0,9308.0,1635636.0,79.64,78.01,80.36,18.18,kaziranga,assam,0,99.43092472897392,78.01374924641684,80.36391405097957,0.0,2024,,,
Assam,11.0,Sonitpur,1878.0,817734.0,821225.0,33.0,1638992.0,5192.0,629405.0,652547.0,7.0,1281959.0,0.0,8597.0,1290556.0,78.74,76.97,79.46,21.21,sonitpur,assam,0,99.33385300599122,76.96940569916379,79.46019665743249,0.0,2024,,,
Assam,12.0,Lakhimpur,1775.0,789517.0,790966.0,17.0,1580500.0,3266.0,594959.0,610495.0,2.0,1205456.0,0.0,8783.0,1214239.0,76.83,75.36,77.18,11.76,lakhimpur,assam,0,99.27666629057377,75.35733872734849,77.18346932737943,0.0,2024,,,
Assam,13.0,Dibrugarh,1923.0,812311.0,849652.0,35.0,1661998.0,2410.0,623386.0,650333.0,8.0,1273727.0,0.0,4737.0,1278464.0,76.92,76.74,76.54,22.86,dibrugarh,assam,0,99.62947724769724,76.74228220472207,76.54110153333365,0.0,2024,,,
Assam,14.0,Jorhat,2068.0,854583.0,878356.0,5.0,1732944.0,5823.0,677316.0,702369.0,2.0,1379687.0,0.0,16596.0,1396283.0,80.57,79.26,79.96,40.0,jorhat,assam,0,98.8114157373541,79.25690073404222,79.96404646863003,0.0,2024,,,
Bihar,1.0,Valmiki Nagar,1829.0,968965.0,860015.0,72.0,1829052.0,1771.0,532471.0,567647.0,7.0,1100125.0,0.0,3349.0,1103474.0,60.33,54.95,66.0,9.72,valmiki nagar,bihar,0,99.69650395025165,54.95255246577534,66.00431387824631,0.0,2024,,,
Bihar,10.0,Kishanganj,1782.0,945306.0,884825.0,66.0,1830197.0,203.0,556663.0,593406.0,1.0,1150070.0,0.0,1226.0,1151296.0,62.91,58.89,67.06,1.52,kishanganj,bihar,0,99.89351131246873,58.887069372245605,67.06478682225298,0.0,2024,,,
Bihar,11.0,Katihar,1854.0,955971.0,878511.0,30.0,1834512.0,1503.0,561942.0,606768.0,0.0,1168710.0,0.0,3823.0,1172533.0,63.92,58.78,69.07,0.0,katihar,bihar,0,99.67395373946832,58.782327078959504,69.0677749054935,0.0,2024,,,
